year,scenario,scenario_label,company,reachable_pop,effective_covered_pop,trip_intensity_per_capita,annual_ride_miles_demand,fleet_demand,fleet_supply_cap,fleet_operating,gross_passenger_revenue,net_platform_revenue,revenue_miles_per_vehicle_day,readiness_friction
2031,slow,"Slow adoption — regulatory drag, setbacks",waymo,168740000.00000003,92807000.00000003,30.106999999999996,11176561396.000002,140779.5738586894,1757306.5714285716,140779.5738586894,21235466652.4,7432413328.34,217.50823158593224,0.3775406687981454
2031,slow,"Slow adoption — regulatory drag, setbacks",tesla,220512499.99999997,171999749.99999997,30.106999999999996,20713585892.999992,323606.35338069004,4210213.6607142845,323606.35338069004,22784944482.29999,6379784455.043999,175.36599575046264,0.8581489350995123
2032,slow,"Slow adoption — regulatory drag, setbacks",waymo,174460000.00000003,95953000.00000003,31.8274,12215738048.800005,153869.0063917976,2119689.0000000005,153869.0063917976,23209902292.72001,8123465802.452003,217.50823158593224,0.3775406687981454
2032,slow,"Slow adoption — regulatory drag, setbacks",tesla,227987499.99999997,177830249.99999997,31.8274,22639497995.399998,353694.69229066226,5078421.562499999,353694.69229066226,24903447794.94,6972965382.5832,175.36599575046264,0.8581489350995123
2033,slow,"Slow adoption — regulatory drag, setbacks",waymo,178464000.00000003,98155200.00000003,33.547799999999995,13171564074.240002,165908.557357146,2478100.114285715,165908.557357146,25025971741.056007,8759090109.369602,217.50823158593224,0.3775406687981454
2033,slow,"Slow adoption — regulatory drag, setbacks",tesla,233219999.99999997,181911599.99999997,33.547799999999995,24410935897.919994,381369.695683897,5937114.857142856,381369.695683897,26852029487.711994,7518568256.55936,175.36599575046264,0.8581489350995123
2034,slow,"Slow adoption — regulatory drag, setbacks",waymo,181896000.00000003,100042800.00000003,35.26819999999999,14113317915.840002,177770.85559027529,2841475.3714285716,177770.85559027529,26815304040.096004,9385356414.033602,217.50823158593224,0.3775406687981454
2034,slow,"Slow adoption — regulatory drag, setbacks",tesla,237704999.99999997,185409899.99999997,35.26819999999999,26156293740.71999,408637.2528210592,6807701.410714285,408637.2528210592,28771923114.79199,8056138472.141758,175.36599575046264,0.8581489350995123
2035,slow,"Slow adoption — regulatory drag, setbacks",waymo,184184000.00000003,101301200.00000003,36.9886,14987958265.280005,188787.79463897468,3196908.0,188787.79463897468,28477120704.03201,9966992246.411203,217.50823158593224,0.3775406687981454
2035,slow,"Slow adoption — regulatory drag, setbacks",tesla,240694999.99999997,187742099.99999997,36.9886,27777269760.239994,433961.6047369525,7659258.749999998,433961.6047369525,30554996736.263996,8555399086.15392,175.36599575046264,0.8581489350995123
